record_id,age,gender,education_qualification,martial_status,occupation_status,bank___1,bank___2,bank___3,bank___4,bank___5,bank___6,bank___7,bank___8,bank___9,bank___10,Sem_1,Sem_2,Sem_3,Sem_4,Sem_5,Hc_1,Hc_2,Hc_3,Hc_4,Hc_5,Hc_6,Hl_1,Hl_2,Hl_3,Hl_4,CI_1,CI_2,CI_3,CI_4,PERSN_1,PERSN_2,PERSN_3,PERSN_4,Ca_1,Ca_2,Ca_3,Ca_4,Ey_1,Ey_2,Ey_3,Ey_ 4,Cv_1,Cv_2,Cv_3,CV_4,CS_1,CS_2,CS_3,CS_4,CS_5,CT_1,CT_2,CT_3,CT_4,CT_5,CL_1,CL_2,CL_3,CL_4,CL_5,,,,,,,
1,3,1,3,2,2,1,0,0,0,1,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,4,4,3,3,3,3,,,,,,,
2,2,2,4,3,1,1,1,0,0,1,0,0,1,0,0,4,3,4,3,3,1,1,1,1,1,1,1,1,1,1,3,4,4,3,3,4,4,4,4,3,3,4,4,3,4,3,4,3,4,3,3,3,3,5,4,4,4,4,4,4,4,3,4,4,4,,,,,,,
3,3,1,4,1,2,0,0,0,0,0,0,1,0,0,0,2,2,2,3,4,2,2,4,3,3,2,3,3,4,4,3,4,3,3,5,4,4,3,2,3,2,2,2,2,3,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
4,4,1,4,4,1,1,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,4,3,4,3,3,4,2,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,,,,,,,
5,3,2,4,1,3,0,0,0,0,1,0,0,0,0,0,2,4,4,3,4,3,3,3,3,3,2,3,3,4,2,2,2,2,2,4,3,4,2,2,2,2,2,2,1,2,3,3,4,3,4,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,,,,,,,
6,2,2,4,1,3,1,0,0,0,0,0,0,1,0,0,2,2,3,3,4,3,2,5,3,3,2,3,3,4,2,2,2,2,3,2,2,3,3,2,2,1,1,1,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,,,,,,,
7,3,2,4,1,3,0,0,0,0,0,0,0,1,0,0,2,2,4,3,4,4,2,2,3,3,4,3,3,4,1,2,2,2,2,2,3,2,3,3,4,1,2,1,1,1,3,2,1,1,1,1,1,2,2,4,1,1,1,1,1,1,2,2,2,1,,,,,,,
9,3,2,3,3,2,0,0,0,0,1,1,0,0,0,0,2,2,2,3,3,3,2,2,3,3,3,2,2,2,2,2,2,3,3,2,3,2,2,3,2,4,2,3,3,2,2,2,3,3,2,2,3,2,5,3,2,2,2,2,2,2,2,3,4,3,,,,,,,
10,4,2,4,1,3,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
11,2,2,4,1,3,0,0,0,0,0,0,0,1,0,0,4,4,4,3,4,4,2,4,3,3,2,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,,,,,,,
12,4,1,4,1,3,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,5,4,3,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,
13,2,2,4,1,3,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
14,3,1,4,1,3,0,0,1,0,1,0,0,1,0,0,3,3,2,2,4,3,3,2,2,2,2,2,2,3,3,4,3,3,3,3,3,4,4,3,2,3,3,2,3,3,2,3,3,3,4,2,3,4,3,3,2,3,3,2,3,1,3,2,4,3,,,,,,,
15,3,2,3,3,1,1,1,1,0,0,0,0,1,0,0,4,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,1,3,3,3,3,4,2,4,4,3,4,3,3,3,3,5,5,5,3,3,3,3,3,4,3,3,,,,,,,
16,3,1,4,1,3,0,0,0,0,0,0,0,1,0,0,2,3,3,2,2,3,4,2,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,
17,2,2,4,1,3,0,0,0,0,0,0,0,0,0,0,3,2,3,4,2,2,1,4,2,2,4,2,2,4,3,2,2,2,2,2,3,3,4,2,2,4,3,3,4,3,2,3,3,2,3,3,4,5,3,4,2,2,3,3,2,3,4,4,4,2,,,,,,,
18,3,1,4,1,3,0,0,0,0,1,1,0,1,0,0,2,2,4,2,4,2,1,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,4,1,1,2,2,2,3,3,3,4,4,4,4,4,2,2,3,1,2,2,2,2,2,2,,,,,,,
19,3,1,4,1,3,0,0,0,0,0,0,0,1,0,0,2,3,4,2,3,2,4,1,2,3,4,3,2,2,5,3,4,3,3,2,2,3,3,2,3,3,4,4,2,3,3,3,3,3,3,4,3,4,3,3,3,3,3,2,2,4,2,4,3,4,,,,,,,
20,4,2,4,1,2,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
21,3,1,4,1,3,1,1,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,1,2,4,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,2,3,3,2,,,,,,,
