respondent_id,SQ1,SQ2,SQ3,PE1,PE2,PE3,PS1,PS2,PS3,EM1,EM2,EM3,PR1,PR2,PR3,TR1,TR2,TR3,SA1,SA2,SA3,LI1,LI2,LI3,age,gender,prior_chatbot_use
1,4,4,4,3,3,2,3,3,3,4,4,5,3,3,4,4,3,3,3,4,4,4,4,4,23,Female,Sometimes
2,5,4,3,3,3,3,3,3,4,3,3,3,3,5,4,2,4,4,3,4,3,4,3,4,25,Male,Sometimes
3,3,4,4,4,4,3,5,5,5,4,4,4,4,4,3,3,4,5,3,3,4,4,4,4,22,Male,Never
4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,4,4,3,3,3,4,3,4,3,25,Female,Never
5,4,4,3,3,4,3,2,2,3,2,2,2,2,2,2,2,3,2,5,4,4,3,2,3,19,Female,Sometimes
6,4,4,4,3,3,2,3,3,4,2,2,2,4,4,4,3,3,4,4,4,4,3,2,3,25,Male,Sometimes
7,5,5,5,4,4,4,5,5,5,4,4,4,3,2,2,5,4,4,5,4,5,5,4,4,24,Female,Often
8,4,4,4,5,4,4,3,2,3,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,24,Male,Never
9,3,4,4,3,2,3,3,3,3,3,4,3,2,2,1,3,3,4,3,4,4,3,3,3,25,Female,Often
10,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,4,4,4,19,Male,Never
11,5,4,5,3,4,4,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,19,Male,Sometimes
12,3,3,3,3,3,3,5,4,4,3,2,4,2,2,2,3,4,3,4,5,5,4,3,3,18,Male,Often
13,4,4,3,4,4,4,4,3,4,4,4,4,4,5,5,3,3,3,4,5,4,3,3,4,24,Male,Often
14,3,3,3,3,2,2,3,3,3,2,3,2,4,4,4,3,3,3,2,2,3,2,3,3,21,Female,Sometimes
15,5,4,4,5,4,4,3,4,3,2,2,2,3,3,3,4,4,3,4,4,4,3,3,3,20,Male,Sometimes
16,5,5,5,3,4,4,4,5,4,5,5,4,3,4,3,4,4,4,5,4,4,4,4,4,18,Male,Sometimes
17,3,2,3,3,3,4,2,3,3,3,3,4,4,3,3,3,3,3,3,2,4,3,3,2,20,Female,Often
18,3,3,3,3,3,4,4,3,4,4,5,4,1,1,1,4,4,5,3,4,4,4,4,3,25,Male,Sometimes
19,3,4,4,3,3,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,18,Male,Often
20,2,1,2,1,3,2,2,2,2,3,2,3,2,3,4,2,2,2,1,2,2,2,2,1,18,Female,Often
21,2,3,3,2,2,2,4,4,4,3,2,3,3,2,3,2,3,3,3,4,4,2,3,3,20,Male,Sometimes
22,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,4,4,3,5,4,5,4,5,4,20,Female,Often
23,5,4,5,2,2,1,4,4,4,4,3,3,3,3,2,3,3,3,5,4,4,3,3,3,19,Female,Sometimes
24,4,4,5,4,5,4,4,4,4,3,3,3,3,3,2,5,3,4,4,4,3,4,3,3,19,Male,Sometimes
25,3,4,4,3,2,2,4,4,3,5,4,4,4,4,4,4,4,4,3,3,4,4,3,4,22,Female,Sometimes
26,3,3,3,4,4,4,3,3,4,5,3,3,3,3,4,4,4,2,4,4,5,3,3,2,18,Female,Sometimes
27,3,3,3,2,2,2,4,4,3,4,4,5,3,3,3,4,4,3,3,3,2,4,4,3,25,Female,Sometimes
28,4,5,4,4,4,4,4,3,4,2,2,2,4,4,4,4,4,5,4,3,4,4,4,4,21,Male,Sometimes
29,4,4,3,3,4,3,4,4,4,5,4,5,2,2,3,4,3,5,3,3,3,5,4,4,20,Male,Sometimes
30,3,3,4,3,2,2,4,5,4,4,3,4,3,3,3,4,4,3,3,3,3,3,3,3,18,Male,Never
31,4,4,4,4,5,5,4,4,4,3,3,4,2,1,1,5,5,5,5,4,5,5,5,4,19,Male,Often
32,3,4,4,5,5,4,4,4,4,2,2,2,4,4,4,3,4,3,3,4,3,4,4,3,25,Male,Often
33,3,3,3,3,3,3,4,4,4,3,3,3,4,4,4,3,3,3,3,4,4,3,3,3,20,Female,Never
34,2,3,3,3,3,3,3,3,3,4,3,4,4,3,4,2,3,3,3,4,4,3,3,4,23,Female,Often
35,4,5,4,4,3,4,3,4,3,4,3,4,3,3,4,4,3,4,3,3,3,3,3,3,19,Male,Sometimes
36,4,3,3,2,3,2,5,4,3,4,3,3,3,3,4,4,5,4,3,3,3,4,4,4,20,Female,Never
37,5,5,4,5,4,4,5,4,5,3,3,3,3,3,4,5,4,4,5,4,5,4,5,4,20,Male,Often
38,5,5,5,3,4,4,4,4,4,5,5,4,3,2,3,4,4,4,4,4,4,4,4,4,24,Male,Sometimes
39,3,4,4,3,4,3,3,4,4,3,4,4,3,3,3,4,3,3,4,3,4,3,4,3,21,Male,Sometimes
40,4,5,5,3,3,3,4,4,4,2,2,1,3,3,3,4,4,2,4,4,4,4,4,4,24,Female,Often
41,4,3,3,4,3,4,4,5,5,3,3,3,4,4,4,4,4,5,3,4,4,3,5,4,25,Male,Sometimes
42,5,5,5,3,3,2,4,5,4,2,2,2,3,3,3,3,4,4,3,4,3,3,3,3,20,Female,Never
