Model,N,Predictor,Beta,SE,t,p,R2,adj_R2
Trust ~ chatbot service factors,645,(Intercept),0.0,0.038,0.0,1.0,0.095,0.085
Trust ~ chatbot service factors,645,Semantic Understanding,0.17,0.05,3.37,0.0008,0.095,0.085
Trust ~ chatbot service factors,645,Human-AI Collaboration,-0.019,0.056,-0.33,0.7411,0.095,0.085
Trust ~ chatbot service factors,645,Human-Like Interaction,-0.069,0.055,-1.25,0.2127,0.095,0.085
Trust ~ chatbot service factors,645,Continuous Improvement,0.029,0.055,0.53,0.5989,0.095,0.085
Trust ~ chatbot service factors,645,Personalization,0.003,0.054,0.05,0.9624,0.095,0.085
Trust ~ chatbot service factors,645,Cultural Adaptation,0.175,0.054,3.22,0.0013,0.095,0.085
Trust ~ chatbot service factors,645,Efficiency,0.062,0.048,1.3,0.1938,0.095,0.085
Satisfaction ~ chatbot service factors + Customer Value,640,(Intercept),0.0,0.038,0.0,1.0,0.107,0.096
Satisfaction ~ chatbot service factors + Customer Value,640,Semantic Understanding,0.18,0.051,3.51,0.0005,0.107,0.096
Satisfaction ~ chatbot service factors + Customer Value,640,Human-AI Collaboration,-0.045,0.056,-0.8,0.4212,0.107,0.096
Satisfaction ~ chatbot service factors + Customer Value,640,Human-Like Interaction,-0.028,0.056,-0.51,0.6137,0.107,0.096
Satisfaction ~ chatbot service factors + Customer Value,640,Continuous Improvement,-0.063,0.055,-1.14,0.253,0.107,0.096
Satisfaction ~ chatbot service factors + Customer Value,640,Personalization,0.055,0.055,1.01,0.314,0.107,0.096
Satisfaction ~ chatbot service factors + Customer Value,640,Cultural Adaptation,0.14,0.055,2.54,0.0112,0.107,0.096
Satisfaction ~ chatbot service factors + Customer Value,640,Efficiency,-0.014,0.048,-0.3,0.7641,0.107,0.096
Satisfaction ~ chatbot service factors + Customer Value,640,Customer Value,0.139,0.051,2.73,0.0065,0.107,0.096
Customer Loyalty ~ Trust + Satisfaction + Customer Value,644,(Intercept),-0.0,0.023,-0.0,1.0,0.649,0.647
Customer Loyalty ~ Trust + Satisfaction + Customer Value,644,Trust,0.44,0.032,13.89,0.0,0.649,0.647
Customer Loyalty ~ Trust + Satisfaction + Customer Value,644,Satisfaction,0.424,0.031,13.59,0.0,0.649,0.647
Customer Loyalty ~ Trust + Satisfaction + Customer Value,644,Customer Value,0.053,0.025,2.15,0.0321,0.649,0.647
